5I4,150,
5I5,,1591
5I6,,3212
5I7,4850,4926
5I8,6600,6690
5F1,12400,12315
5F2,12820,12715
5F3,13600,13548
5S2,14300,14139
5F4,14650,14520
5F5,15900,15885
3K6,15900,16871
3K7,,
3H4,17300,
5G2,17700,17459
5G3,18300,
3K3,,
3H5,,
5G4,20250,
3G3,,
5G3,21900,
3D2,,
5G6,22300,
3L7,22300,
3D1,,
3L3,23500,
3G4,,
3H6,,
3L9,,
3M+1L8,,
3D3,24800,
3P0,,
1D+3P2,,
3G5,,
3F4,,
3P1,,
3M9,,
3F2,,
3I5,,
3F2,,
3M10,,
3F3,,
8I6,,
1L8,,
5D0,30040,
5D1,30480,
3F3,,
5D2,31250,
