6H5/2,36,
6H7/2,1080,1045
6H9/2,2286,2255
6H11/2,3608,3573
6H13/2,5014,4959
6F1/2,,6254
6H15/2,,6434
6F3/2,,6504
6F5/2,7033,7014
6F7/2,7900,7874
6F9/2,9075,9040
6F11/2,10460,10433
4G5/2,17860,17825
4F3/2,18860,18821
4G7/2,20010,
4I9/2,20600,
4M15/2,,
4I11/2,20977,
4I13/2,21562,
4F5/2,22129,
4M17/2,,
4G9/2,22850,
4I15/2,,
4M19/2,,
6P+4P5/2,23784,
4L13/2,24560,
4F7/2,,
6P3/2,,
4K11/2,24532,
